EL440,1,Lexington Av‐63 St FQ,95.12%,96.65%,96.22%,100.00%,28,19,9,2
EL118,13,181 St A,95.13%,94.95%,94.69%,95.04%,25,20,5,0
EL710,10,Bowling Green 45,95.29%,97.27%,95.66%,93.21%,39,33,6,0
EL333,12,West 4 St ABCDEFM,95.36%,96.74%,94.50%,96.73%,26,22,4,0
EL206,27,Grand Central‐42 St 456,95.53%,98.75%,97.03%,97.72%,22,10,12,1
EL103,14,191 St 1,95.58%,99.30%,96.61%,96.02%,25,19,6,0
EL277,8,59 St‐Columbus Circle ABCD1,95.64%,98.32%,96.03%,97.24%,22,16,6,1
EL245,12,Lexington Av‐53 St EM,95.67%,96.18%,95.13%,89.20%,17,12,5,1
EL335,12,West 4 St ABCDEFM,96.20%,96.06%,96.98%,97.92%,14,11,3,2
EL201,0,51 St 6,96.42%,97.81%,96.87%,95.97%,14,11,3,1
EL716,3,Fulton St ACJZ2345,96.44%,96.90%,98.70%,98.49%,27,22,5,0
EL139,10,168 St 1AC,96.49%,98.98%,95.70%,97.92%,19,16,3,3
EL213,2,34 St‐Herald Sq BDFMNQRW,96.51%,99.23%,97.71%,97.60%,18,12,6,3
EL224,15,8 Av L,96.55%,97.74%,96.89%,95.41%,20,16,4,3
EL229,14,Times Sq‐42 St NQRW,96.72%,97.95%,96.74%,91.84%,8,4,4,0
EL332,5,Bleecker St DFBM6,96.77%,97.83%,97.10%,98.90%,8,5,3,1
EL215,18,34 St‐Penn Station 23,96.80%,97.76%,97.83%,98.90%,9,5,4,0
EL328,5,Bleecker St DFBM6,96.83%,97.10%,98.40%,95.44%,18,15,3,1
EL298,1,23 St 6,96.94%,98.55%,96.82%,100.00%,12,8,4,3
EL329,5,Bleecker St DFBM6,97.00%,96.14%,99.59%,98.21%,15,7,8,0
EL114,20,168 St 1,97.06%,98.07%,96.71%,93.68%,28,26,2,0
EL732,10,Fulton St 23,97.07%,96.15%,97.15%,93.81%,12,7,5,0
EL730,8,South Ferry 1,97.08%,98.71%,97.83%,N/A,17,12,5,2
EL731,8,South Ferry 1,97.16%,97.21%,98.22%,N/A,17,10,7,0
EL211,24,34 St‐Herald Sq NQRW,97.17%,97.45%,97.39%,98.98%,17,15,2,1
EL711,10,Bowling Green 45,97.18%,99.71%,98.70%,97.73%,15,9,6,0
EL178,4,Dyckman St 1,97.22%,96.72%,98.91%,94.90%,22,17,5,1
EL250,1,86 St Q,97.33%,97.62%,98.61%,N/A,19,8,11,1
EL226,15,34 St‐Penn Station CE,97.40%,97.15%,98.12%,97.88%,11,7,4,1
EL223,15,14 St ACE,97.55%,98.09%,98.98%,98.08%,12,7,5,1
EL123,28,175 St A,97.59%,97.75%,98.09%,89.19%,12,8,4,0
EL338,8,Chambers St 123,97.63%,97.83%,97.40%,98.76%,7,4,3,0
EL280,7,59 St‐Columbus Circle ABCD1,97.66%,99.03%,99.84%,97.10%,21,15,6,0
EL228,15,34 St‐Penn Station CE,97.74%,98.17%,98.39%,96.08%,11,7,4,1
EL144,12,125 St ABCD,97.74%,98.38%,98.91%,82.58%,10,6,4,1
EL107,18,181 St 1,97.74%,99.65%,98.44%,92.75%,10,7,3,0
EL115,16,190 St A,97.76%,98.92%,96.98%,97.28%,10,5,5,2
EL281,8,57 St‐7 Av NQRW,97.79%,98.58%,96.28%,90.67%,20,17,3,0
EL234,8,47‐50 Sts‐Rockefeller Center BDFM,97.79%,99.17%,98.49%,96.69%,26,23,3,0
EL143,12,125 St ABCD,97.82%,99.59%,98.35%,95.74%,8,5,3,0
EL299,1,23 St 6,97.82%,100.00%,96.88%,100.00%,13,11,2,0
EL249,1,86 St Q,97.86%,97.83%,97.55%,N/A,10,3,7,0
EL722,4,Fulton St JZ,97.91%,99.18%,98.23%,99.38%,10,6,4,0
EL126,1,125 St 456,97.95%,99.17%,97.49%,98.42%,16,11,5,2
EL237,18,66 St‐Lincoln Center 1,97.96%,99.09%,99.27%,97.39%,14,9,5,0
EL221,15,14 St/8 Av ACEL,97.98%,98.50%,98.13%,92.22%,12,9,3,1
EL441,1,Lexington Av‐63 St FQ,97.98%,99.88%,99.03%,100.00%,20,12,8,0
EL225,15,34 St‐Penn Station CE,97.99%,99.09%,98.40%,81.93%,12,6,6,2
EL112,20,168 St 1,98.04%,98.91%,98.06%,95.70%,19,15,4,1
EL220,17,14 St‐Union Sq NQRW,98.07%,98.91%,98.64%,91.71%,12,8,4,0
EL723,4,Fulton St 23,98.08%,100.00%,98.54%,97.78%,14,8,6,0
EL117,15,181 St A,98.21%,98.75%,100.00%,71.87%,9,3,6,1
EL212,24,34 St‐Herald Sq NQRW,98.24%,100.00%,96.79%,89.21%,8,7,1,2
EL334,12,West 4 St ABCDEFM,98.27%,98.59%,99.60%,98.84%,14,7,7,1
EL279,8,59 St‐Columbus Circle ABCD1,98.28%,99.09%,100.00%,98.09%,9,4,5,0
EL403,28,Roosevelt Island F,98.29%,98.64%,100.00%,95.77%,11,8,3,0
EL330,5,Bleecker St DFBM6,98.30%,99.19%,100.00%,90.71%,8,3,5,0
EL262,1,72 St Q,98.31%,98.64%,99.04%,N/A,11,5,6,0
